650,0
498,0
627,0
857,0
487,0
28,1
927,0
72,0
400,0
945,0
637,0
443,0
177,0
984,0
954,0
859,1
489,0
991,1
62,0
428,1
145,0
471,0
65,1
809,0
681,0
970,0
854,0
486,0
531,0
725,1
527,1
465,0
674,0
677,1
475,1
124,0
111,0
478,0
226,0
160,0
372,1
464,0
763,0
886,0
544,1
63,0
720,0
3,1
407,1
171,1
46,0
165,0
441,0
257,0
239,0
27,1
173,0
477,1
312,0
612,0
339,0
884,0
61,0
147,1
327,1
353,1
504,0
429,1
268,0
184,1
295,0
1,1
265,0
39,0
494,1
106,0
272,0
55,0
779,0
170,0
447,0
119,0
425,0
545,0
202,0
255,0
275,0
653,1
252,0
199,0
626,0
649,0
364,0
70,0
894,0
587,0
346,0
374,0
871,1
939,1
101,0
196,1
117,1
179,0
122,0
132,0
778,0
240,0
883,0
387,1
236,1
466,1
958,0
277,0
438,1
777,0
445,1
484,1
702,1
435,1
497,1
103,1
376,1
638,1
366,1
974,1
908,0
391,0
510,1
841,1
20,1
513,1
655,1
149,1
279,1
290,1
280,0
274,1
1543,1
1819,1
1260,1
1237,1
1320,1
1214,1
1212,1
1412,0
1485,1
1423,1
1518,1
1336,1
1805,1
1204,1
1784,1
1894,0
1342,0
1359,1
1332,0
1383,1
1519,1
1228,1
1238,1
1295,1
1870,1
1366,1
1216,1
1512,1
1594,0
1232,1
1828,1
1218,1
1401,1
1067,1
1201,0
1345,1
1339,1
1324,1
790,1
917,1
306,1
909,1
977,1
90,1
446,1
893,1
241,1
615,1
424,1
921,0
434,0
246,1
647,0
452,1
491,0
333,0
622,1
769,1
797,0
624,1
959,1
227,1
47,0
32,1
440,0
4,1
960,1
125,0
798,1
920,0
248,1
325,1
388,0
882,1
311,1
87,0
9,1
743,1
79,0
210,0
48,1
413,1
791,1
492,1
601,0
480,1
232,0
285,0
706,0
134,0
15,1
21,1
92,1
71,1
468,0
45,0
998,1
751,1
200,1
488,1
826,1
242,0
253,1
120,0
172,0
448,1
322,1
453,1
496,1
211,0
80,0
845,0
89,1
450,0
771,1
194,1
131,1
115,1
603,1
214,0
14,1
254,1
843,0
867,0
213,0
533,1
2,1
923,1
343,0
356,1
190,1
765,0
941,0
621,1
390,1
382,1
784,0
276,1
258,0
185,1
548,0
222,0
176,0
335,1
85,0
181,1
269,1
116,1
836,0
786,1
256,1
267,1
938,1
744,1
159,1
582,1
753,0
564,1
658,1
454,0
577,0
694,0
640,1
151,1
869,1
605,1
502,0
38,1
54,1
874,0
866,1
691,1
220,1
201,1
687,1
219,1
156,0
576,0
634,1
642,1
245,0
525,0
205,1
520,0
